Country,Country_Code,Year,Beds_per_1000,Health_Exp_GDP,Health_Exp_Per_Capita_PPP,Infant_Mortality,Life_Expectancy,Physicians_per_1000
Bahrain,BHR,2010,1.76,4.08934975,1960.611756,7.1,78.593,0.971
Bahrain,BHR,2011,2.05,3.8651762,1939.612041,6.8,79.141,0.997
Bahrain,BHR,2012,2.0,4.10642147,2224.101375,6.6,79.622,1.016
Bahrain,BHR,2013,2.01,4.30853891,2320.735791,6.5,79.998,0.994
Bahrain,BHR,2014,1.96,4.41240263,2294.754098,6.4,80.214,0.976
Bahrain,BHR,2015,1.9,4.97671938,2271.819281,6.3,80.338,0.932
Bahrain,BHR,2016,1.84,4.86051178,2170.13755,6.3,80.407,0.842
Bahrain,BHR,2017,1.77,4.51235676,2170.363698,6.3,80.407,
Bahrain,BHR,2018,1.8,4.12745667,2054.298282,6.4,80.412,
Bahrain,BHR,2019,1.74,3.95980334,2066.163351,6.5,80.471,
Bahrain,BHR,2020,,4.7196188,2383.024595,6.6,78.683,
Bahrain,BHR,2021,,4.49223804,2403.156503,6.8,78.083,
Bahrain,BHR,2022,,3.83745313,2256.511389,7.0,80.992,
Bahrain,BHR,2023,,,,7.2,81.284,
"Egypt, Arab Rep.",EGY,2010,1.43,4.15319157,385.888331,25.6,69.078,
"Egypt, Arab Rep.",EGY,2011,1.43,4.35707569,411.7773998,24.6,69.232,
"Egypt, Arab Rep.",EGY,2012,1.41,4.45891809,484.7024134,23.7,69.464,
"Egypt, Arab Rep.",EGY,2013,1.4,4.6710043,511.6855206,22.8,69.632,
"Egypt, Arab Rep.",EGY,2014,1.37,4.77415323,507.658793,22.0,69.911,0.745
"Egypt, Arab Rep.",EGY,2015,1.27,5.06153202,570.2332602,21.2,70.135,0.777
"Egypt, Arab Rep.",EGY,2016,1.27,5.07462406,557.8468645,20.5,70.437,0.778
"Egypt, Arab Rep.",EGY,2017,1.3,5.34661913,577.0520012,19.8,70.709,0.757
"Egypt, Arab Rep.",EGY,2018,1.26,4.74892998,542.4580388,19.1,70.974,0.73
