Country,Country_Code,Year,Beds_per_1000,Health_Exp_GDP,Health_Exp_Per_Capita_PPP,Infant_Mortality,Life_Expectancy,Physicians_per_1000
Bahrain,BHR,2023,1.74,3.83745313,2256.511389,7.2,81.284,0.842
"Egypt, Arab Rep.",EGY,2023,1.13,4.70438385,699.9062055,16.1,71.633,0.683
Jordan,JOR,2023,1.38,6.82820034,767.4496356,12.2,77.814,2.513
Kuwait,KWT,2023,2.35,4.26875782,2415.129172,7.6,83.18780488,2.293
Morocco,MAR,2023,0.73,5.68049145,552.5956769,15.5,75.313,0.732
Oman,OMN,2023,1.16,2.9162159,1177.550276,8.4,80.031,2.058
Qatar,QAT,2023,1.12,2.18112326,2317.84419,4.9,82.368,2.499
Saudi Arabia,SAU,2023,2.15,4.62462378,3102.182053,4.9,78.732,3.077
Tunisia,TUN,2023,2.42,6.96380186,885.2603611,10.6,76.508,1.292
United Arab Emirates,ARE,2023,1.98,4.67550945,3813.761871,4.0,82.909,2.912
